Index,Generation,Impregnation Vial Number Barcode,Support,Total Metal Loading [wt%],Fe Loading [wt%],In Loading [wt%],Ce Loading [wt%],Co Loading [wt%],Cu Loading [wt%],Zn Loading [wt%],K Loading [wt%],Cost [$/kg],Merit,CO2 Conversion (%),MeOH Selectivity (%),CH4 Selectivity(%),CO Selectivity(%),C2-C4 Selectivity(%),CO Formation Rate [mol/(h*gMetal)],CH4 Formation Rate [mol/(h*gMetal)],MeOH Formation Rate [mol/(h*gMetal)],CO2 Conversion Rate [mol/(h*gMetal)]
100,5,1000001610,ZrO2,2.87917685,0,0,0,0.123756354,1.696861679,1.058558816,0,103.73,0.954142482,6.023154077,53.99577532,0.74721046,45.03578355,0,0.087888666,0.00144865,0.104383227,0.193720543
101,5,1000001600,ZrO2,2.904025786,0,0,0.905220514,0.016821537,1.981983735,0,0,115.72,0.909852365,7.492584324,38.50635716,1.027064503,60.21745327,0.009583615,0.143065509,0.00241682,0.090875545,0.236357875
102,5,1000001598,ZrO2,2.624009204,0,0,0,0.524207417,1.580981335,0.518820452,0,156.16,0.655940381,6.268428422,31.58606959,39.55465658,24.63928764,3.328010762,0.056582439,0.089040577,0.069720985,0.215344001
103,5,1000001634,ZrO2,2.585414131,0,0,0,0.090130641,2.098226489,0.397057001,0,104.2,0.984985243,9.505217064,45.43815017,3.748617912,50.27541171,0.083798726,0.170008408,0.012504467,0.151616916,0.334129792
104,5,1000001603,ZrO2,2.721327014,0,0.170013488,0,0,2.216842545,0.33447098,0,355.46,0.970637073,8.540999219,49.39531172,1.247554846,49.18999796,0,0.142432249,0.003582684,0.141774486,0.287789419
105,5,1000001607,ZrO2,2.973769868,0,0.310388502,0.380350848,0,2.283030517,0,0,584.26,0.887434001,6.216356817,47.71761054,0.230394635,51.26174113,0,0.100480588,0.00044414,0.091815902,0.19274063
106,5,1000001609,ZrO2,2.607055847,0,0.228359293,0.000921547,0,2.377775008,0,0,449.48,0.934636569,7.834565475,46.90580574,0.60642155,52.32165959,0,0.144291545,0.001664284,0.128710855,0.274666685
107,5,1000001599,ZrO2,2.758260279,0,0,0.086061163,0.116003276,2.55619584,0,0,128.59,0.920345786,6.386672153,45.97070728,0.691548718,52.94855652,0,0.113550615,0.001468568,0.097703122,0.212722304
108,5,1000001597,ZrO2,2.689568717,0,0,0.032850271,0,1.161653539,1.495064908,0,67.48,0.969255269,8.413760744,44.0025755,0.311776029,55.38715406,0,0.158704675,0.000885582,0.12500221,0.284592468
109,5,1000001624,ZrO2,2.782287475,0,0,0.754837931,0,1.907332019,0.120117526,0,105.13,0.896177896,6.921660869,38.77943753,1.318496011,59.51612015,0.021299169,0.136574421,0.002994957,0.088260341,0.227829719
110,5,1000001613,ZrO2,2.873377429,0.333381351,0,0.88334158,0,1.656654499,0,0,100.64,0.867820882,6.112958949,36.8122063,0.888741641,61.9154166,0.012714038,0.121899694,0.001730963,0.071801105,0.195431762
111,5,1000001606,ZrO2,2.527811316,0.275754487,0,0.332909521,0,1.919147308,0,0,89.39,0.898834108,7.426351315,35.99985021,0.764789154,62.86838084,0,0.169658725,0.002043588,0.096282831,0.267985144
112,5,1000001612,ZrO2,2.757525695,0,0.018327965,0.375075331,0,2.364122399,0,0,136.71,0.922822247,8.560804409,36.295797,1.276934804,62.12927958,0.018393806,0.176147201,0.00358777,0.102055612,0.281790583
113,5,1000001602,ZrO2,2.528952864,0,0,0,0.02807675,2.065221636,0.435654478,0,93.03,0.945676934,9.860955324,32.53928521,0.215046899,67.24566789,0,0.296263078,0.000946207,0.143137253,0.440346539
114,5,1000001596,ZrO2,2.574721413,0,0.013009275,0.269663691,0,2.292048447,0,0,121.26,0.902637748,8.300574584,32.40999035,0.211117485,67.37889216,0,0.245910679,0.000770618,0.118244712,0.364926008
115,5,1000001614,ZrO2,3.047595649,0.153877872,0,0,0,1.968416099,0.725186463,0.200115214,106.65,0.785018955,7.898954153,11.27040183,0.229995753,88.45487323,0.04472919,0.259342885,0.000673041,0.033005634,0.293021559
116,5,1000001633,ZrO2,2.685714138,0.275288064,0,0.51084383,0,1.899582243,0,0,93.33,0.852248101,6.913043082,29.05807939,0.233483524,70.70843709,0,0.206698474,0.000682448,0.084974115,0.292355037
117,5,1000001605,ZrO2,2.717327893,0,0,0.580622511,0,1.556810013,0.579895369,0,93.64,0.906747296,8.963670568,29.35364315,0.122455893,70.52390095,0,0.22735943,0.000394644,0.094705186,0.32245926
118,5,1000001611,ZrO2,2.66475669,0,0.258541873,0.44810226,0,1.958112557,0,0,494.39,0.871715102,6.235795209,42.99125747,0.185504785,56.82323774,0,0.130311208,0.000424588,0.098513911,0.229249708
